NormalisedCityPair;DepartureCode;ArrivalCode;Departure_lat;Departure_lon;Arrival_lat;Arrival_lon
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Johannesburg - London;JNB;LHR;-26.1;28.23;51.47;-0.45
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Johannesburg - London;JNB;LHR;-26.1;28.23;51.47;-0.45
London - Singapore;SIN;LHR;1.3;103.98;51.47;-0.45
London - New York;JFK;LCY;40.6;-73.79;51.5;0.05
London - New York;LCY;JFK;51.5;0.05;40.64;-73.79
London - Newark;EWR;LHR;40.7;-74.18;51.47;-0.45
Bombay - London;LHR;BOM;51.5;-0.45;19.09;72.86
Dubai - London;DXB;LHR;25.3;55.35;51.47;-0.45
Delhi - London;DEL;LHR;28.7;77.26;51.47;-0.45
New York - San Francisco;JFK;SFO;40.6;-73.79;37.61;-122.39
London - Newark;EWR;LHR;40.7;-74.18;51.47;-0.45
Hong Kong - London;LHR;HKG;51.5;-0.45;22.32;113.94
Los Angeles - New York;JFK;LAX;40.6;-73.79;34.05;-118.24
Cape Town - Johannesburg;JNB;CPT;-26.1;28.23;-33.97;18.59
New York - Sao Paulo;JFK;GRU;40.6;-73.79;-23.42;-46.48
London - Milan;LHR;LIN;51.5;-0.45;45.47;9.18
London - Tokyo;LHR;NRT;51.5;-0.45;35.75;140.39
Dubai - London;DXB;LHR;25.3;55.35;51.47;-0.45
London - Moscow;DME;LHR;55.4;37.9;51.47;-0.45
Newark - Singapore;EWR;SIN;40.7;-74.18;1.34;103.98
London - Madras;LHR;MAA;51.5;-0.45;13.05;80.23
Boston - London;LHR;BOS;51.5;-0.45;42.21;-71
London - San Francisco;SFO;LHR;37.6;-122.39;51.47;-0.45
London - Sao Paulo;LHR;GRU;51.5;-0.45;-23.42;-46.48
London - Singapore;SIN;LHR;1.3;103.98;51.47;-0.45
London - Madrid;LHR;MAD;51.5;-0.45;40.46;-3.58
Hong Kong - New York;HKG;JFK;22.3;113.94;40.64;-73.79
Chicago - New York;ORD;LGA;41.6;-98.93;40.77;-73.88
Boston - New York;LGA;BOS;40.8;-73.88;42.21;-71
London - Nairobi;NBO;LHR;-1.3;36.81;51.47;-0.45
Johannesburg - Nairobi;JNB;NBO;-26.1;28.23;-1.28;36.81
Glasgow - London;LCY;GLA;51.5;0.05;55.86;-4.43
London - Madrid;MAD;LHR;40.5;-3.58;51.47;-0.45
Cape Town - London;LHR;CPT;51.5;-0.45;-33.97;18.59
Frankfurt - London;FRA;LCY;50.1;8.56;51.5;0.05
Doha - London;LHR;DOH;51.5;-0.45;25.27;51.56
London - Philadelphia;PHL;LHR;45.1;-89.01;51.47;-0.45
Hong Kong - London;HKG;LHR;22.3;113.94;51.47;-0.45
Frankfurt - London;LHR;FRA;51.5;-0.45;50.05;8.56
Houston - New York;IAH;LGA;30;-95.34;40.77;-73.88
Istanbul - London;IST;LHR;41;28.99;51.47;-0.45
New York - Paris;JFK;CDG;40.6;-73.79;49.01;2.54
London - Miami;MIA;LHR;33.4;-110.87;51.47;-0.45
New York - Tokyo;JFK;NRT;40.6;-73.79;35.75;140.39
London - Washington Dc;LHR;IAD;51.5;-0.45;38.96;-77.45
London - Singapore;LHR;SIN;51.5;-0.45;1.34;103.98
Lisbon - London;LHR;LIS;51.5;-0.45;38.77;-9.13
Hong Kong - Singapore;SIN;HKG;1.3;103.98;22.32;113.94
Houston - Newark;IAH;EWR;30;-95.34;40.69;-74.18
Dallas - New York;LGA;DFW;40.8;-73.88;32.87;-97.04
Newark - Toronto Island;YTZ;EWR;43.6;-79.4;40.69;-74.18
Edinburgh - London;EDI;LCY;56;-3.34;51.5;0.05
Chicago - London;LHR;ORD;51.5;-0.45;41.6;-98.93
New York - Tokyo;NRT;JFK;35.8;140.39;40.64;-73.79
Beijing - Hong Kong;HKG;PEK;22.3;113.94;40.07;116.58
Hong Kong - Singapore;SIN;HKG;1.3;103.98;22.32;113.94
Bombay - London;BOM;LHR;19.1;72.86;51.47;-0.45
London - Stockholm;LHR;ARN;51.5;-0.45;60.74;15.85
Glasgow - Madras;MAA;GLA;51.5;-0.45;55.86;-4.43
Durban - Johannesburg;JNB;DUR;-26.1;28.23;-29.96;30.95
Accra - London;LHR;ACC;51.5;-0.45;5.6;-0.17
London - Tokyo;NRT;LHR;35.8;140.39;51.47;-0.45
London - Tel Aviv;LHR;TLV;51.5;-0.45;32.01;34.89
