IATA_airport_code;Airport_lat;Airport_lon
TBJ;36.978333;8.876389
LCG;43.302061;-8.377256
AAL;57.092789;9.849164
AAR;56.300017;10.619008
JEG;68.7;-52.75
ABD;30.371111;48.228333
ABA;53.74;91.385
YXX;49.025278;-122.360556
MLG;-7.926556;112.714514
AEH;13.847;20.844333
SNU;22.492192;-79.943611
ABR;45.4491;-98.4218
AHB;18.240367;42.656625
ABJ;5.261386;-3.926294
ABI;32.411319;-99.681897
CJS;31.636133;-106.428667
SPI;39.8441;-89.677889
AUH;24.432972;54.651138
ABS;22.375953;31.611722
ARA;30.037758;-91.883896
SRG;-6.971447;110.374122
ADK;51.878;-176.646
LIT;34.729444;-92.224306
ADA;36.982166;35.280388
ADL;-34.945;138.530556
MGQ;2.01444;45.3047
ADE;12.829542;45.028792
SOC;-7.516089;110.756892
JOG;-7.788181;110.431758
SLK;44.3853;-74.2062
ADF;37.7314;38.4689
ADB;38.292392;27.156953
AEP;-34.559175;-58.415606
BPS;-16.438611;-39.080833
TTQ;10.569;-83.5148
CWB;-25.528475;-49.175775
AFY;38.726425;30.601114
IXA;23.886978;91.24045
AGX;10.823656;72.176042
AGZ;-29.281767;18.813869
AGR;27.155831;77.960892
AJI;39.6546;43.0271
AGQ;38.602022;21.351208
OCV;8.315061;-73.358331
AGJ;26.589722;127.23805
AHE;-14.4281;-146.257
AMD;23.077242;72.63465
AHS;15.4722;-84.3522
AWZ;31.337431;48.76195
AIM;10.2168;169.983
IEO;16.711294;-9.637883
HFT;70.679722;23.668889
MEH;71.029722;27.826667
VDS;70.065;29.844
AIT;-18.830922;-159.764233
CMF;45.63805;5.880225
QXB;43.505554;5.367778
AJL;23.746603;92.802767
AXT;39.615556;140.218611
LAK;68.223333;-135.005833
AKD;20.699006;77.058628
CAK;40.9160833;-81.4421944
AKR;41.0375;-81.466917
AKT;34.590416;32.987861
AKU;41.2625;80.2917
SCO;43.513557;51.052817
PVK;38.925467;20.765311
AKX;50.245833;57.206667
AKV;60.8186;-78.1486
QCU;68.75;-52.3333
AEY;65.659994;-18.072703
KQA;54.1325;-165.785
HOF;25.2853;49.4852
LEA;25.285306;49.485189
AAN;24.2617;55.6092
ABT;20.296139;41.634277
AAY;16.191667;52.175
AJO;29.785133;40.100006
AJF;29.7851;40.1
ALM;32.8399;-105.991
ABC;38.948528;-1.863517
ALH;-34.9433;117.809
ALB;42.748267;-73.801692
ALL;44.050608;8.127428
OAJ;34.829164;-77.612139
SPG;27.765111;-82.626972
MRD;8.582294;-71.161186
TND;21.7883;-79.9972
ABQ;35.0402222;-106.6091944
IKR;35.040222;-106.609194
ABX;-36.067778;146.958056
BFS;54.6575;-6.215833
ACI;49.706111;-2.214722
WKK;59.2826;-158.618
ALP;36.180675;37.224358
YLT;82.517778;-62.280556
ALJ;-28.575001;16.533333
ALR;-45.211666;169.373333
ALY;31.183903;29.948889
AEX;31.3274;-92.549833
JSI;39.1771;23.503675
HUU;-9.87881;-76.2048
CLO;3.543222;-76.381583
VUP;10.435042;-73.249506
LET;-4.193549;-69.943163
AHO;40.632133;8.290772
ALC;38.282169;-0.558156
ALI;27.740889;-98.026944
ASP;-23.806667;133.902222
IXD;25.440064;81.733872
LHE;31.521564;74.403594
BIG;63.994547;-145.721642
LLU;60.4644;-45.5778
ALA;43.352072;77.040508
LEI;36.843936;-2.370097
RCH;11.526222;-72.925958
